idiom	example	meaning	origin	used_at	pronunciation_audio	tags	slugs
(have) egg on your face	["Stan%20had%20egg%20on%20his%20face%20after%20saying%20he%20could%20easily%20do%20fifty%20push-ups%2C%20and%20then%20giving%20up%20after%20doing%20just%20twenty.","The%20police%20force%20had%20egg%20on%20its%20face%20because%20they%20arrested%20and%20beat%20up%20an%20innocent%20guy%20who%20had%20the%20same%20name%20as%20a%20suspect%20they%20were%20looking%20for."]	["You%20will%20have%20egg%20on%20your%20face%20if%20you%27ve%20said%20or%20done%20something%20wrong%2C%20and%20it%27s%20made%20you%20feel%20embarrassed%20or%20stupid.",""]	NA	NA	NA	Body,E,Food	(have) egg on your face
(it's) raining cats and dogs	["We%20can%27t%20go%20now%20because%20it%27s%20raining%20cats%20and%20dogs.","Why%20do%20people%20always%20use%20%22it%27s%20raining%20cats%20and%20dogs%22%20as%20an%20example%20of%20an%20idiom%3F%20No-one%20actually%20uses%20it%20any%20more%2C%20do%20they%3F"]	["You%20can%20say%20%22it%27s%20raining%20cats%20and%20dogs%22%20if%20it%27s%20raining%20very%20hard.",""]	The first time this phrase appeared in print was in Jonathan Swift's A Complete Collection of Genteel and Ingenious Conversation in 1738, in which he wrote, "I know Sir John will go, though he was sure it would rain cats and dogs". The phrase's source before this time remains a mystery, despite the many theories that have been put forward to explain its origin.	NA	NA	Animals,R,Weather	(it's) raining cats and dogs
(it) stands to reason	["If%20you%20eat%20good%20food%20and%20get%20plenty%20of%20exercise%20it%20stands%20to%20reason%20that%20you%27ll%20have%20a%20good%20chance%20of%20living%20to%20a%20ripe%20old%20age.","It%20stands%20to%20reason%20that%20kids%20who%20study%20the%20hardest%20get%20the%20best%20grades."]	["You%20can%20say%20it%20stands%20to%20reason%20that%20something%20should%20be%20so%20if%20it%20seems%20reasonable%20to%20you%20that%20it%20should%20be%20so.",""]	NA	NA	NA	S	(it) stands to reason
(like) water off a duck's back	["I%20asked%20Amy%20if%20she%20got%20upset%20when%20journalists%20wrote%20negative%20things%20about%20her%2C%20and%20she%20said%20she%20didn%27t%20care%20what%20they%20wrote%20-%20it%20was%20like%20water%20off%20a%20duck%27s%20back.","Terry%20said%20he%20was%20too%20sensitive%20about%20criticism%20and%20he%20wanted%20to%20be%20like%20one%20of%20those%20people%20for%20whom%20it%27s%20like%20water%20off%20a%20duck%27s%20back."]	["You%20can%20say%20an%20insult%20or%20criticism%20is%20like%20water%20off%20a%20duck%27s%20back%20if%20it%20doesn%27t%20upset%20you.",""]	Probably related to the fact that ducks have oily feathers and water can't get through them, so  water runs off their backs. In the same way, criticism can either get through to someone and upset them, or not get through to them and not upset them, and be "like water off a duck's back."	NA	NA	Animals,W	(like) water off a duck's back
(someone's) name is mud	["Ian%27s%20name%20is%20mud%20now%20because%20everyone%20thinks%20he%20was%20the%20one%20who%20stole%20the%20money.","If%20any%20athletes%20test%20positive%20for%20a%20banned%20substance%2C%20their%20name%20will%20be%20mud."]	["If%20someone%27s%20name%20is%20mud%2C%20other%20people%20are%20angry%20with%20them%2C%20or%20they%27re%20no%20longer%20popular%2C%20because%20they%27ve%20done%20something%20wrong.",""]	NA	NA	NA	N	(someone's) name is mud
(something) escapes you	["I%27m%20really%20sorry%2C%20but%20your%20name%20escapes%20me%20at%20the%20moment.%20Could%20you%20tell%20me%20again%20please%3F","Kim%20said%20he%20knew%20the%20song%20really%20well%2C%20but%20the%20name%20of%20the%20band%20that%20had%20recorded%20it%20escaped%20him."]	["If%20you%20say%20something%20escapes%20you%2C%20it%20means%20you%20can%27t%20remember%20it.",""]	NA	NA	NA	E	(something) escapes you
(something) occurs to you	["I%20was%20surprised%20when%20I%20heard%20that%20Anne%20had%20quit.%20It%20had%20never%20occurred%20to%20me%20that%20she%20wasn%27t%20happy%20working%20here.","Has%20it%20ever%20occurred%20to%20you%20that%20your%20daughter%27s%20happiness%20is%20more%20important%20than%20what%20your%20friends%20might%20think%20if%20they%20know%20she%27s%20gay%3F"]	["If%20something%20occurs%20to%20you%2C%20you%20think%20of%20it.",""]	NA	NA	NA	O	(something) occurs to you
(your) bread and butter	["Bartending%20is%20my%20bread%20and%20butter%20at%20the%20moment%2C%20but%20I%27m%20trying%20to%20get%20into%20acting.","The%20conditions%20are%20bad%2C%20but%20this%20work%20is%20their%20bread%20and%20butter%20so%20make%20sure%20the%20workers%20have%20other%20jobs%20before%20you%20close%20down%20the%20factory."]	["Your%20bread%20and%20butter%20is%20your%20livelihood%20or%20the%20source%20of%20your%20income.",""]	NA	NA	NA	B,Food,Money	(your) bread and butter
(your) hands are tied	["The%20president%20says%20he%27d%20like%20to%20spend%20more%20on%20schools%20in%20poor%20districts%2C%20but%20says%20his%20hands%20are%20tied%20by%20what%20he%20calls%20%22budgetary%20restrictions%22.","I%27d%20really%20like%20to%20give%20you%20the%20contract%2C%20Mr%20Gambino%2C%20but%20my%20hands%20are%20tied%20because%20of%20those%20laws%20on%20giving%20contracts%20to%20people%20with%20criminal%20records."]	["You%20can%20say%20your%20hands%20are%20tied%20if%20you%27re%20prevented%20from%20doing%20something%20that%20you%27d%20normally%20have%20the%20power%20or%20the%20authority%20to%20do.",""]	NA	NA	NA	Body,H	(your) hands are tied
(your) heart goes out to (someone)	["We%27re%20so%20sorry%20to%20hear%20of%20your%20loss%2C%20and%20our%20hearts%20go%20out%20to%20you%20in%20this%20difficult%20time.","My%20heart%20went%20out%20to%20Kerry%20when%20I%20heard%20that%20her%20dog%20had%20died.%20I%20know%20how%20much%20she%20loved%20him."]	["If%20your%20heart%20goes%20out%20to%20someone%2C%20you%20feel%20great%20sympathy%20for%20them.",""]	NA	NA	NA	Body,H	(your) heart goes out to (someone)
