tag_id,tag
1,the_human_body
2,work
3,excess
4,money
5,animals
6,food
7,luck
8,conflict
9,crime
10,religion
11,household_items
12,sex
13,clothes
14,shakespeare
15,family
16,hyperbole
17,biblical
18,stupidity
19,location
20,language
21,colour
22,nautical
23,medical
24,tool
25,failure
26,effort
27,nature
28,trickery
29,military
30,clock
31,emotion
32,slang
33,place
34,date
35,name
36,joke
37,employment
38,music
39,drink
40,legal
41,cockney_rhyming_slang
42,children
43,euphemism
44,travel
45,number
46,misfortune
47,sport
48,australian_origin
49,politics
50,death
51,theatre
52,childhood
53,dance
54,technology
55,hair
56,madness
57,business
58,building
59,comedy
60,time
61,weather
62,america
63,patience
64,fashion
65,success
66,surprise
67,nonsense
68,habit
69,rubbish
70,proverbial
71,honesty
72,country
73,pride
74,education
75,body
76,relaxation
77,excellence
78,agreement
79,fruit
80,disgust
81,science
82,adage
83,cliche
84,happiness
85,secrets
86,greek_origin
87,water
88,vehicle
89,reduplication
90,latin
91,blue
92,risk
93,aphorism
94,sympathy
95,french
96,a
97,b
98,c
99,d
100,e
101,f
102,g
103,h
104,t
105,i
106,j
107,k
108,l
109,m
110,n
111,o
112,p
113,q
114,r
115,s
116,u
117,v
118,w
119,x
120,y
121,z
122,american
123,australian
124,british
125,buildings
126,clothing
127,colours
128,health
129,law
130,numbers
131,sports
132,structures
133,xyz
134,plants
135,transport
